давление 1E+5 Па.,   время 0 c.
давление 9,708E+4 Па.,   время 1 c.
давление 9,425E+4 Па.,   время 2 c.
давление 9,149E+4 Па.,   время 3 c.
давление 8,882E+4 Па.,   время 4 c.
давление 8,623E+4 Па.,   время 5 c.
давление 8,371E+4 Па.,   время 6 c.
давление 8,127E+4 Па.,   время 7 c.
давление 7,89E+4 Па.,   время 8 c.
давление 7,659E+4 Па.,   время 9 c.
давление 7,436E+4 Па.,   время 10 c.
давление 7,219E+4 Па.,   время 11 c.
давление 7,008E+4 Па.,   время 12 c.
давление 6,803E+4 Па.,   время 13 c.
давление 6,605E+4 Па.,   время 14 c.
давление 6,412E+4 Па.,   время 15 c.
давление 6,225E+4 Па.,   время 16 c.
давление 6,043E+4 Па.,   время 17 c.
давление 5,867E+4 Па.,   время 18 c.
давление 5,696E+4 Па.,   время 19 c.
давление 5,529E+4 Па.,   время 20 c.
давление 5,368E+4 Па.,   время 21 c.
давление 5,211E+4 Па.,   время 22 c.
давление 5,059E+4 Па.,   время 23 c.
давление 4,912E+4 Па.,   время 24 c.
давление 4,768E+4 Па.,   время 25 c.
давление 4,629E+4 Па.,   время 26 c.
давление 4,494E+4 Па.,   время 27 c.
давление 4,363E+4 Па.,   время 28 c.
давление 4,236E+4 Па.,   время 29 c.
давление 4,112E+4 Па.,   время 30 c.
давление 3,992E+4 Па.,   время 31 c.
давление 3,876E+4 Па.,   время 32 c.
давление 3,763E+4 Па.,   время 33 c.
давление 3,653E+4 Па.,   время 34 c.
давление 3,546E+4 Па.,   время 35 c.
давление 3,443E+4 Па.,   время 36 c.
давление 3,343E+4 Па.,   время 37 c.
давление 3,245E+4 Па.,   время 38 c.
давление 3,15E+4 Па.,   время 39 c.
давление 3,059E+4 Па.,   время 40 c.
давление 2,969E+4 Па.,   время 41 c.
давление 2,883E+4 Па.,   время 42 c.
давление 2,799E+4 Па.,   время 43 c.
давление 2,717E+4 Па.,   время 44 c.
давление 2,638E+4 Па.,   время 45 c.
давление 2,561E+4 Па.,   время 46 c.
давление 2,486E+4 Па.,   время 47 c.
давление 2,414E+4 Па.,   время 48 c.
давление 2,343E+4 Па.,   время 49 c.
давление 2,275E+4 Па.,   время 50 c.
давление 2,209E+4 Па.,   время 51 c.
давление 2,144E+4 Па.,   время 52 c.
давление 2,082E+4 Па.,   время 53 c.
давление 2,021E+4 Па.,   время 54 c.
давление 1,962E+4 Па.,   время 55 c.
давление 1,905E+4 Па.,   время 56 c.
давление 1,85E+4 Па.,   время 57 c.
давление 1,796E+4 Па.,   время 58 c.
давление 1,744E+4 Па.,   время 59 c.
давление 1,693E+4 Па.,   время 60 c.
давление 1,643E+4 Па.,   время 61 c.
давление 1,596E+4 Па.,   время 62 c.
давление 1,549E+4 Па.,   время 63 c.
давление 1,504E+4 Па.,   время 64 c.
давление 1,46E+4 Па.,   время 65 c.
давление 1,418E+4 Па.,   время 66 c.
давление 1,376E+4 Па.,   время 67 c.
давление 1,336E+4 Па.,   время 68 c.
давление 1,298E+4 Па.,   время 69 c.
давление 1,26E+4 Па.,   время 70 c.
давление 1,223E+4 Па.,   время 71 c.
давление 1,188E+4 Па.,   время 72 c.
давление 1,153E+4 Па.,   время 73 c.
давление 1,119E+4 Па.,   время 74 c.
давление 1,087E+4 Па.,   время 75 c.
давление 1,055E+4 Па.,   время 76 c.
давление 1,025E+4 Па.,   время 77 c.
давление 9,949E+3 Па.,   время 78 c.
давление 9,66E+3 Па.,   время 79 c.
давление 9,379E+3 Па.,   время 80 c.
давление 9,107E+3 Па.,   время 81 c.
давление 8,842E+3 Па.,   время 82 c.
давление 8,585E+3 Па.,   время 83 c.
давление 8,336E+3 Па.,   время 84 c.
давление 8,094E+3 Па.,   время 85 c.
давление 7,859E+3 Па.,   время 86 c.
давление 7,631E+3 Па.,   время 87 c.
давление 7,409E+3 Па.,   время 88 c.
давление 7,195E+3 Па.,   время 89 c.
давление 6,986E+3 Па.,   время 90 c.
давление 6,783E+3 Па.,   время 91 c.
давление 6,587E+3 Па.,   время 92 c.
давление 6,396E+3 Па.,   время 93 c.
давление 6,21E+3 Па.,   время 94 c.
давление 6,03E+3 Па.,   время 95 c.
давление 5,856E+3 Па.,   время 96 c.
давление 5,686E+3 Па.,   время 97 c.
давление 5,522E+3 Па.,   время 98 c.
давление 5,362E+3 Па.,   время 99 c.
давление 5,207E+3 Па.,   время 100 c.
давление 5,056E+3 Па.,   время 101 c.
давление 4,91E+3 Па.,   время 102 c.
давление 4,768E+3 Па.,   время 103 c.
давление 4,63E+3 Па.,   время 104 c.
давление 4,496E+3 Па.,   время 105 c.
давление 4,366E+3 Па.,   время 106 c.
давление 4,24E+3 Па.,   время 107 c.
давление 4,118E+3 Па.,   время 108 c.
давление 3,999E+3 Па.,   время 109 c.
давление 3,884E+3 Па.,   время 110 c.
давление 3,772E+3 Па.,   время 111 c.
давление 3,663E+3 Па.,   время 112 c.
давление 3,558E+3 Па.,   время 113 c.
давление 3,455E+3 Па.,   время 114 c.
давление 3,356E+3 Па.,   время 115 c.
давление 3,259E+3 Па.,   время 116 c.
давление 3,165E+3 Па.,   время 117 c.
давление 3,074E+3 Па.,   время 118 c.
давление 2,986E+3 Па.,   время 119 c.
давление 2,9E+3 Па.,   время 120 c.
давление 2,817E+3 Па.,   время 121 c.
давление 2,736E+3 Па.,   время 122 c.
давление 2,658E+3 Па.,   время 123 c.
давление 2,582E+3 Па.,   время 124 c.
давление 2,508E+3 Па.,   время 125 c.
давление 2,436E+3 Па.,   время 126 c.
давление 2,366E+3 Па.,   время 127 c.
давление 2,299E+3 Па.,   время 128 c.
давление 2,233E+3 Па.,   время 129 c.
давление 2,169E+3 Па.,   время 130 c.
давление 2,107E+3 Па.,   время 131 c.
давление 2,047E+3 Па.,   время 132 c.
давление 1,989E+3 Па.,   время 133 c.
давление 1,932E+3 Па.,   время 134 c.
давление 1,877E+3 Па.,   время 135 c.
давление 1,824E+3 Па.,   время 136 c.
давление 1,772E+3 Па.,   время 137 c.
давление 1,722E+3 Па.,   время 138 c.
давление 1,673E+3 Па.,   время 139 c.
давление 1,625E+3 Па.,   время 140 c.
давление 1,579E+3 Па.,   время 141 c.
давление 1,535E+3 Па.,   время 142 c.
давление 1,491E+3 Па.,   время 143 c.
давление 1,449E+3 Па.,   время 144 c.
давление 1,408E+3 Па.,   время 145 c.
давление 1,368E+3 Па.,   время 146 c.
давление 1,33E+3 Па.,   время 147 c.
давление 1,293E+3 Па.,   время 148 c.
давление 1,256E+3 Па.,   время 149 c.
давление 1,221E+3 Па.,   время 150 c.
давление 1,187E+3 Па.,   время 151 c.
давление 1,153E+3 Па.,   время 152 c.
давление 1,121E+3 Па.,   время 153 c.
давление 1,09E+3 Па.,   время 154 c.
давление 1,059E+3 Па.,   время 155 c.
давление 1,03E+3 Па.,   время 156 c.
давление 1,001E+3 Па.,   время 157 c.
давление 9,734E+2 Па.,   время 158 c.
давление 9,464E+2 Па.,   время 159 c.
давление 9,202E+2 Па.,   время 160 c.
давление 8,947E+2 Па.,   время 161 c.
давление 8,7E+2 Па.,   время 162 c.
давление 8,46E+2 Па.,   время 163 c.
давление 8,227E+2 Па.,   время 164 c.
давление 8E+2 Па.,   время 165 c.
давление 7,78E+2 Па.,   время 166 c.
давление 7,567E+2 Па.,   время 167 c.
давление 7,36E+2 Па.,   время 168 c.
давление 7,159E+2 Па.,   время 169 c.
давление 6,964E+2 Па.,   время 170 c.
давление 6,774E+2 Па.,   время 171 c.
давление 6,59E+2 Па.,   время 172 c.
давление 6,411E+2 Па.,   время 173 c.
давление 6,238E+2 Па.,   время 174 c.
давление 6,069E+2 Па.,   время 175 c.
давление 5,906E+2 Па.,   время 176 c.
давление 5,747E+2 Па.,   время 177 c.
давление 5,592E+2 Па.,   время 178 c.
давление 5,443E+2 Па.,   время 179 c.
давление 5,297E+2 Па.,   время 180 c.
давление 5,156E+2 Па.,   время 181 c.
давление 5,019E+2 Па.,   время 182 c.
давление 4,886E+2 Па.,   время 183 c.
давление 4,756E+2 Па.,   время 184 c.
давление 4,631E+2 Па.,   время 185 c.
давление 4,509E+2 Па.,   время 186 c.
давление 4,39E+2 Па.,   время 187 c.
давление 4,275E+2 Па.,   время 188 c.
давление 4,164E+2 Па.,   время 189 c.
давление 4,055E+2 Па.,   время 190 c.
давление 3,95E+2 Па.,   время 191 c.
давление 3,848E+2 Па.,   время 192 c.
давление 3,748E+2 Па.,   время 193 c.
давление 3,652E+2 Па.,   время 194 c.
давление 3,558E+2 Па.,   время 195 c.
давление 3,467E+2 Па.,   время 196 c.
давление 3,379E+2 Па.,   время 197 c.
давление 3,293E+2 Па.,   время 198 c.
давление 3,209E+2 Па.,   время 199 c.
давление 3,128E+2 Па.,   время 200 c.
давление 3,05E+2 Па.,   время 201 c.
давление 2,973E+2 Па.,   время 202 c.
давление 2,899E+2 Па.,   время 203 c.
давление 2,827E+2 Па.,   время 204 c.
давление 2,757E+2 Па.,   время 205 c.
давление 2,689E+2 Па.,   время 206 c.
давление 2,622E+2 Па.,   время 207 c.
давление 2,558E+2 Па.,   время 208 c.
давление 2,496E+2 Па.,   время 209 c.
давление 2,435E+2 Па.,   время 210 c.
давление 2,376E+2 Па.,   время 211 c.
давление 2,319E+2 Па.,   время 212 c.
давление 2,263E+2 Па.,   время 213 c.
давление 2,209E+2 Па.,   время 214 c.
давление 2,156E+2 Па.,   время 215 c.
давление 2,105E+2 Па.,   время 216 c.
давление 2,056E+2 Па.,   время 217 c.
давление 2,007E+2 Па.,   время 218 c.
давление 1,96E+2 Па.,   время 219 c.
давление 1,915E+2 Па.,   время 220 c.
давление 1,87E+2 Па.,   время 221 c.
давление 1,827E+2 Па.,   время 222 c.
давление 1,785E+2 Па.,   время 223 c.
давление 1,745E+2 Па.,   время 224 c.
давление 1,705E+2 Па.,   время 225 c.
давление 1,666E+2 Па.,   время 226 c.
давление 1,629E+2 Па.,   время 227 c.
давление 1,593E+2 Па.,   время 228 c.
давление 1,557E+2 Па.,   время 229 c.
давление 1,523E+2 Па.,   время 230 c.
давление 1,489E+2 Па.,   время 231 c.
давление 1,456E+2 Па.,   время 232 c.
давление 1,425E+2 Па.,   время 233 c.
давление 1,394E+2 Па.,   время 234 c.
давление 1,364E+2 Па.,   время 235 c.
давление 1,335E+2 Па.,   время 236 c.
давление 1,306E+2 Па.,   время 237 c.
давление 1,279E+2 Па.,   время 238 c.
давление 1,252E+2 Па.,   время 239 c.
давление 1,225E+2 Па.,   время 240 c.
давление 1,2E+2 Па.,   время 241 c.
давление 1,175E+2 Па.,   время 242 c.
давление 1,151E+2 Па.,   время 243 c.
давление 1,127E+2 Па.,   время 244 c.
давление 1,104E+2 Па.,   время 245 c.
давление 1,082E+2 Па.,   время 246 c.
давление 1,06E+2 Па.,   время 247 c.
давление 1,039E+2 Па.,   время 248 c.
давление 1,019E+2 Па.,   время 249 c.
давление 9,986E+1 Па.,   время 250 c.
давление 9,79E+1 Па.,   время 251 c.
давление 9,599E+1 Па.,   время 252 c.
давление 9,414E+1 Па.,   время 253 c.
давление 9,233E+1 Па.,   время 254 c.
давление 9,057E+1 Па.,   время 255 c.
давление 8,885E+1 Па.,   время 256 c.
давление 8,717E+1 Па.,   время 257 c.
